id_nilai,id_krs,nilai_angka,nilai_huruf,bobot_nilai,ip_semester,ipk_kumulatif,tgl_input
10567,10567,76.51,B+,3.3,3.47,3.47,2026-05-26
10568,10568,71.2,B,3.0,3.0,3.42,2026-05-26
10569,10569,96.02,A,4.0,3.6,3.5,2026-05-26
10570,10570,66.15,B-,2.7,3.26,3.4,2026-05-26
10571,10571,76.98,B+,3.3,3.27,3.39,2026-05-26
10572,10572,66.76,B-,2.7,3.15,3.33,2026-05-26
10573,10573,75.85,B+,3.3,3.18,3.32,2026-05-26
10574,10574,73.77,B,3.0,3.0,3.3,2026-05-26
10575,10575,81.42,A-,3.7,3.35,3.33,2026-05-26
10576,10576,76.7,B+,3.3,3.33,3.33,2026-05-26
10577,10577,99.0,A,4.0,3.5,3.37,2026-05-26
10578,10578,81.35,A-,3.7,3.54,3.39,2026-05-26
10579,10579,72.69,B,3.0,3.45,3.37,2026-05-26
10580,10580,68.9,B-,2.7,2.7,3.33,2026-05-26
10581,10581,71.69,B,3.0,2.82,3.32,2026-05-26
10582,10582,77.03,B+,3.3,3.0,3.32,2026-05-26
10583,10583,87.18,A,4.0,3.27,3.35,2026-05-26
10584,10584,96.18,A,4.0,3.43,3.38,2026-05-26
10585,10585,78.83,B+,3.3,3.3,3.38,2026-05-26
10586,10586,77.06,B+,3.3,3.3,3.37,2026-05-26
10587,10587,78.87,B+,3.3,3.3,3.37,2026-05-26
10588,10588,96.25,A,4.0,3.47,3.39,2026-05-26
10589,10589,76.57,B+,3.3,3.45,3.39,2026-05-26
10590,10590,76.6,B+,3.3,3.42,3.39,2026-05-26
10591,10591,65.43,B-,2.7,2.7,3.37,2026-05-26
10592,10592,70.51,B,3.0,2.85,3.35,2026-05-26
10593,10593,52.12,D,1.0,2.39,3.3,2026-05-26
10594,10594,67.36,B-,2.7,2.45,3.29,2026-05-26
10595,10595,67.24,B-,2.7,2.51,3.27,2026-05-26
10596,10596,75.88,B+,3.3,2.66,3.27,2026-05-26
10597,10597,80.93,A-,3.7,2.77,3.28,2026-05-26
10598,10598,81.12,A-,3.7,3.7,3.29,2026-05-26
10599,10599,81.84,A-,3.7,3.7,3.3,2026-05-26
10600,10600,88.96,A,4.0,3.79,3.31,2026-05-26
10601,10601,55.5,C,2.0,3.39,3.29,2026-05-26
10602,10602,75.51,B+,3.3,3.37,3.29,2026-05-26
10603,10603,75.41,B+,3.3,3.35,3.29,2026-05-26
10604,10604,77.36,B+,3.3,3.3,3.29,2026-05-26
10605,10605,73.76,B,3.0,3.18,3.28,2026-05-26
10606,10606,82.8,A-,3.7,3.38,3.29,2026-05-26
10607,10607,55.34,C,2.0,3.0,3.26,2026-05-26
10608,10608,88.65,A,4.0,3.21,3.28,2026-05-26
10609,10609,68.77,B-,2.7,2.7,3.27,2026-05-26
10610,10610,85.23,A,4.0,3.35,3.28,2026-05-26
10611,10611,68.91,B-,2.7,3.13,3.27,2026-05-26
10612,10612,72.07,B,3.0,3.1,3.27,2026-05-26
10613,10613,70.28,B,3.0,3.08,3.26,2026-05-26
10614,10614,58.89,C,2.0,2.95,3.24,2026-05-26
10615,10615,82.33,A-,3.7,3.15,3.26,2026-05-26
10616,10616,72.39,B,3.0,3.0,3.0,2026-05-26
10617,10617,68.74,B-,2.7,2.82,2.82,2026-05-26
10618,10618,62.0,C+,2.3,2.62,2.62,2026-05-26
10619,10619,41.65,E,0.0,1.91,1.91,2026-05-26
10620,10620,85.2,A,4.0,2.47,2.47,2026-05-26
10621,10621,73.16,B,3.0,3.0,2.58,2026-05-26
10622,10622,81.58,A-,3.7,3.3,2.73,2026-05-26
10623,10623,56.64,C,2.0,2.91,2.64,2026-05-26
10624,10624,94.67,A,4.0,3.16,2.79,2026-05-26
10625,10625,77.59,B+,3.3,3.19,2.84,2026-05-26
10626,10626,68.58,B-,2.7,2.7,2.83,2026-05-26
10627,10627,81.15,A-,3.7,3.2,2.9,2026-05-26
10628,10628,99.92,A,4.0,3.47,2.98,2026-05-26
10629,10629,78.98,B+,3.3,3.43,3.0,2026-05-26
10630,10630,52.78,D,1.0,2.94,2.87,2026-05-26
10631,10631,67.64,B-,2.7,2.9,2.86,2026-05-26
10632,10632,72.14,B,3.0,3.0,2.87,2026-05-26
10633,10633,63.18,C+,2.3,2.65,2.84,2026-05-26
10634,10634,66.27,B-,2.7,2.67,2.83,2026-05-26
10635,10635,66.35,B-,2.7,2.68,2.82,2026-05-26
10636,10636,60.44,C+,2.3,2.62,2.81,2026-05-26
10637,10637,70.19,B,3.0,3.0,3.0,2026-05-26
10638,10638,87.76,A,4.0,3.5,3.5,2026-05-26
10639,10639,70.92,B,3.0,3.38,3.38,2026-05-26
10640,10640,83.38,A-,3.7,3.46,3.46,2026-05-26
10641,10641,78.55,B+,3.3,3.43,3.43,2026-05-26
10642,10642,83.99,A-,3.7,3.7,3.48,2026-05-26
10643,10643,73.4,B,3.0,3.35,3.4,2026-05-26
10644,10644,94.41,A,4.0,3.57,3.48,2026-05-26
10645,10645,68.47,B-,2.7,3.35,3.39,2026-05-26
10646,10646,72.92,B,3.0,3.28,3.35,2026-05-26
10647,10647,85.59,A,4.0,4.0,3.41,2026-05-26
10648,10648,90.56,A,4.0,4.0,3.46,2026-05-26
10649,10649,86.82,A,4.0,4.0,3.49,2026-05-26
10650,10650,83.24,A-,3.7,3.92,3.51,2026-05-26
10651,10651,48.37,D,1.0,3.29,3.33,2026-05-26
10652,10652,95.06,A,4.0,4.0,3.38,2026-05-26
10653,10653,80.31,A-,3.7,3.88,3.39,2026-05-26
10654,10654,98.17,A,4.0,3.92,3.43,2026-05-26
10655,10655,82.31,A-,3.7,3.86,3.44,2026-05-26
10656,10656,57.16,C,2.0,3.46,3.36,2026-05-26
10657,10657,95.7,A,4.0,4.0,3.4,2026-05-26
10658,10658,97.72,A,4.0,4.0,3.42,2026-05-26
10659,10659,73.39,B,3.0,3.62,3.4,2026-05-26
10660,10660,73.86,B,3.0,3.45,3.38,2026-05-26
10661,10661,72.01,B,3.0,3.36,3.36,2026-05-26
10662,10662,68.42,B-,2.7,3.24,3.34,2026-05-26
10663,10663,89.4,A,4.0,3.35,3.36,2026-05-26
10664,10664,72.28,B,3.0,3.0,3.35,2026-05-26
10665,10665,61.94,C+,2.3,2.65,3.31,2026-05-26
10666,10666,72.38,B,3.0,2.77,3.3,2026-05-26
10667,10667,89.15,A,4.0,3.07,3.32,2026-05-26
10668,10668,67.76,B-,2.7,3.02,3.31,2026-05-26
10669,10669,70.44,B,3.0,3.02,3.3,2026-05-26
10670,10670,73.61,B,3.0,3.01,3.29,2026-05-26
10671,10671,72.46,B,3.0,3.0,3.28,2026-05-26
10672,10672,70.76,B,3.0,3.0,3.27,2026-05-26
10673,10673,95.34,A,4.0,3.33,3.29,2026-05-26
10674,10674,70.52,B,3.0,3.25,3.29,2026-05-26
10675,10675,99.98,A,4.0,3.4,3.31,2026-05-26
10676,10676,82.75,A-,3.7,3.45,3.32,2026-05-26
10677,10677,73.52,B,3.0,3.39,3.31,2026-05-26
10678,10678,85.33,A,4.0,4.0,4.0,2026-05-26
10679,10679,96.97,A,4.0,4.0,4.0,2026-05-26
10680,10680,77.52,B+,3.3,3.83,3.83,2026-05-26
10681,10681,75.79,B+,3.3,3.68,3.68,2026-05-26
10682,10682,77.19,B+,3.3,3.6,3.6,2026-05-26
10683,10683,63.31,C+,2.3,3.37,3.37,2026-05-26
10684,10684,81.07,A-,3.7,3.7,3.41,2026-05-26
10685,10685,66.71,B-,2.7,3.1,3.31,2026-05-26
10686,10686,71.28,B,3.0,3.06,3.26,2026-05-26
10687,10687,76.73,B+,3.3,3.12,3.27,2026-05-26
10688,10688,77.16,B+,3.3,3.15,3.27,2026-05-26
10689,10689,70.07,B,3.0,3.13,3.25,2026-05-26
10690,10690,77.58,B+,3.3,3.15,3.25,2026-05-26
10691,10691,77.97,B+,3.3,3.3,3.25,2026-05-26
10692,10692,67.71,B-,2.7,3.06,3.23,2026-05-26
10693,10693,70.68,B,3.0,3.04,3.21,2026-05-26
10694,10694,97.35,A,4.0,3.3,3.26,2026-05-26
10695,10695,48.23,D,1.0,2.81,3.13,2026-05-26
10696,10696,80.83,A-,3.7,2.96,3.16,2026-05-26
10697,10697,76.81,B+,3.3,3.01,3.17,2026-05-26
10698,10698,90.45,A,4.0,4.0,4.0,2026-05-26
10699,10699,70.04,B,3.0,3.5,3.5,2026-05-26
10700,10700,81.36,A-,3.7,3.57,3.57,2026-05-26
10701,10701,77.46,B+,3.3,3.5,3.5,2026-05-26
10702,10702,71.88,B,3.0,3.4,3.4,2026-05-26
10703,10703,68.08,B-,2.7,3.32,3.32,2026-05-26
10704,10704,13.05,E,0.0,2.82,2.82,2026-05-26
10705,10705,76.08,B+,3.3,3.3,2.88,2026-05-26
10706,10706,65.84,B-,2.7,3.0,2.86,2026-05-26
10707,10707,57.28,C,2.0,2.67,2.77,2026-05-26
10708,10708,81.08,A-,3.7,2.85,2.83,2026-05-26
10709,10709,60.95,C+,2.3,2.71,2.77,2026-05-26
10710,10710,58.96,C,2.0,2.59,2.71,2026-05-26
10711,10711,78.85,B+,3.3,2.69,2.75,2026-05-26
10712,10712,73.16,B,3.0,3.0,2.77,2026-05-26
10713,10713,72.7,B,3.0,3.0,2.79,2026-05-26
10714,10714,55.79,C,2.0,2.75,2.75,2026-05-26
10715,10715,65.25,B-,2.7,2.74,2.75,2026-05-26
10716,10716,66.39,B-,2.7,2.73,2.75,2026-05-26
10717,10717,98.65,A,4.0,2.89,2.79,2026-05-26
10718,10718,83.93,A-,3.7,3.02,2.84,2026-05-26
10719,10719,55.0,C,2.0,2.0,2.8,2026-05-26
10720,10720,82.32,A-,3.7,2.85,2.84,2026-05-26
10721,10721,78.29,B+,3.3,3.0,2.86,2026-05-26
10722,10722,67.52,B-,2.7,2.93,2.85,2026-05-26
10723,10723,73.4,B,3.0,2.94,2.86,2026-05-26
10724,10724,75.59,B+,3.3,3.3,3.3,2026-05-26
10725,10725,80.41,A-,3.7,3.5,3.5,2026-05-26
10726,10726,68.55,B-,2.7,3.23,3.23,2026-05-26
10727,10727,73.01,B,3.0,3.16,3.16,2026-05-26
10728,10728,81.59,A-,3.7,3.26,3.26,2026-05-26
10729,10729,82.04,A-,3.7,3.33,3.33,2026-05-26
10730,10730,72.4,B,3.0,3.0,3.29,2026-05-26
10731,10731,57.57,C,2.0,2.5,3.13,2026-05-26
10732,10732,80.8,A-,3.7,2.9,3.19,2026-05-26
10733,10733,55.33,C,2.0,2.68,3.08,2026-05-26
10734,10734,70.82,B,3.0,2.74,3.07,2026-05-26
10735,10735,65.89,B-,2.7,2.7,3.04,2026-05-26
10736,10736,65.22,B-,2.7,2.7,3.01,2026-05-26
10737,10737,53.49,D,1.0,2.13,2.87,2026-05-26
10738,10738,65.18,B-,2.7,2.28,2.86,2026-05-26
10739,10739,66.34,B-,2.7,2.36,2.85,2026-05-26
10740,10740,58.36,C,2.0,2.3,2.8,2026-05-26
10741,10741,67.16,B-,2.7,2.7,2.7,2026-05-26
10742,10742,97.69,A,4.0,3.35,3.35,2026-05-26
10743,10743,78.41,B+,3.3,3.33,3.33,2026-05-26
10744,10744,51.02,D,1.0,2.75,2.75,2026-05-26
10745,10745,56.22,C,2.0,2.6,2.6,2026-05-26
10746,10746,63.51,C+,2.3,2.55,2.55,2026-05-26
10747,10747,92.49,A,4.0,4.0,2.76,2026-05-26
10748,10748,88.36,A,4.0,4.0,2.87,2026-05-26
10749,10749,48.77,D,1.0,2.88,2.65,2026-05-26
10750,10750,98.69,A,4.0,3.18,2.79,2026-05-26
10751,10751,56.99,C,2.0,2.93,2.72,2026-05-26
10752,10752,78.77,B+,3.3,3.3,2.77,2026-05-26
10753,10753,77.77,B+,3.3,3.3,2.79,2026-05-26
10754,10754,75.11,B+,3.3,3.3,2.83,2026-05-26
10755,10755,78.79,B+,3.3,3.3,2.87,2026-05-26
10756,10756,83.66,A-,3.7,3.39,2.92,2026-05-26
10757,10757,65.7,B-,2.7,3.26,2.91,2026-05-26
10758,10758,97.0,A,4.0,4.0,2.97,2026-05-26
10759,10759,73.62,B,3.0,3.5,2.97,2026-05-26
10760,10760,75.28,B+,3.3,3.4,3.0,2026-05-26
10761,10761,82.55,A-,3.7,3.44,3.03,2026-05-26
10762,10762,9.73,E,0.0,2.84,2.89,2026-05-26
10763,10763,83.06,A-,3.7,2.96,2.92,2026-05-26
10764,10764,83.3,A-,3.7,3.06,2.96,2026-05-26
10765,10765,70.23,B,3.0,3.0,2.96,2026-05-26
10766,10766,71.23,B,3.0,3.0,2.96,2026-05-26
10767,10767,48.28,D,1.0,2.33,2.89,2026-05-26
10768,10768,97.64,A,4.0,2.75,2.93,2026-05-26
10769,10769,62.35,C+,2.3,2.66,2.9,2026-05-26
10770,10770,77.22,B+,3.3,2.84,2.93,2026-05-26
10771,10771,89.45,A,4.0,2.99,2.96,2026-05-26
10772,10772,76.31,B+,3.3,3.3,2.98,2026-05-26
10773,10773,99.03,A,4.0,3.53,3.01,2026-05-26
10774,10774,82.06,A-,3.7,3.57,3.03,2026-05-26
10775,10775,70.02,B,3.0,3.46,3.03,2026-05-26
10776,10776,29.92,E,0.0,2.88,2.95,2026-05-26
10777,10777,82.83,A-,3.7,3.0,2.97,2026-05-26
10778,10778,78.31,B+,3.3,3.3,2.98,2026-05-26
10779,10779,70.57,B,3.0,3.15,2.98,2026-05-26
10780,10780,81.13,A-,3.7,3.33,3.0,2026-05-26
10781,10781,83.67,A-,3.7,3.4,3.01,2026-05-26
10782,10782,82.94,A-,3.7,3.46,3.02,2026-05-26
10783,10783,50.32,D,1.0,3.03,2.98,2026-05-26
10784,10784,72.56,B,3.0,3.0,3.0,2026-05-26
10785,10785,70.19,B,3.0,3.0,3.0,2026-05-26
10786,10786,65.34,B-,2.7,2.9,2.9,2026-05-26
10787,10787,66.74,B-,2.7,2.86,2.86,2026-05-26
10788,10788,78.02,B+,3.3,2.96,2.96,2026-05-26
10789,10789,56.58,C,2.0,2.79,2.79,2026-05-26
10790,10790,70.14,B,3.0,3.0,2.82,2026-05-26
10791,10791,78.98,B+,3.3,3.15,2.88,2026-05-26
10792,10792,65.8,B-,2.7,2.97,2.86,2026-05-26
10793,10793,78.41,B+,3.3,3.05,2.9,2026-05-26
10794,10794,78.83,B+,3.3,3.09,2.94,2026-05-26
10795,10795,99.77,A,4.0,3.24,3.03,2026-05-26
10796,10796,68.28,B-,2.7,3.16,3.0,2026-05-26
10797,10797,68.07,B-,2.7,2.7,2.98,2026-05-26
10798,10798,81.01,A-,3.7,3.2,3.03,2026-05-26
10799,10799,56.31,C,2.0,2.8,2.96,2026-05-26
10800,10800,60.2,C+,2.3,2.68,2.92,2026-05-26
10801,10801,61.91,C+,2.3,2.6,2.89,2026-05-26
10802,10802,75.91,B+,3.3,3.3,2.91,2026-05-26
10803,10803,61.11,C+,2.3,2.8,2.88,2026-05-26
10804,10804,72.69,B,3.0,2.88,2.89,2026-05-26
10805,10805,76.56,B+,3.3,2.98,2.91,2026-05-26
10806,10806,95.45,A,4.0,3.17,2.95,2026-05-26
10807,10807,75.91,B+,3.3,3.3,2.97,2026-05-26
10808,10808,82.01,A-,3.7,3.5,3.0,2026-05-26
10809,10809,1.73,E,0.0,2.33,2.88,2026-05-26
10810,10810,65.17,B-,2.7,2.43,2.88,2026-05-26
10811,10811,77.99,B+,3.3,2.6,2.89,2026-05-26
10812,10812,61.1,C+,2.3,2.3,2.87,2026-05-26
10813,10813,73.89,B,3.0,2.65,2.87,2026-05-26
10814,10814,67.1,B-,2.7,2.67,2.87,2026-05-26
10815,10815,83.25,A-,3.7,2.93,2.89,2026-05-26
10816,10816,66.98,B-,2.7,2.87,2.89,2026-05-26
10817,10817,72.94,B,3.0,3.0,3.0,2026-05-26
10818,10818,78.97,B+,3.3,3.15,3.15,2026-05-26
10819,10819,70.96,B,3.0,3.1,3.1,2026-05-26
10820,10820,76.73,B+,3.3,3.15,3.15,2026-05-26
10821,10821,66.37,B-,2.7,3.06,3.06,2026-05-26
10822,10822,60.12,C+,2.3,2.93,2.93,2026-05-26
10823,10823,56.01,C,2.0,2.8,2.8,2026-05-26
10824,10824,89.0,A,4.0,4.0,2.95,2026-05-26
10825,10825,62.74,C+,2.3,3.03,2.86,2026-05-26
10826,10826,66.06,B-,2.7,2.93,2.84,2026-05-26
10827,10827,57.08,C,2.0,2.72,2.77,2026-05-26
10828,10828,45.26,D,1.0,2.39,2.62,2026-05-26
10829,10829,58.76,C,2.0,2.33,2.58,2026-05-26
10830,10830,66.44,B-,2.7,2.38,2.59,2026-05-26
10831,10831,72.36,B,3.0,3.0,2.61,2026-05-26
10832,10832,33.01,E,0.0,1.5,2.45,2026-05-26
10833,10833,63.42,C+,2.3,1.77,2.44,2026-05-26
10834,10834,60.86,C+,2.3,1.9,2.44,2026-05-26
10835,10835,78.59,B+,3.3,2.18,2.48,2026-05-26
10836,10836,73.66,B,3.0,2.32,2.51,2026-05-26
10837,10837,58.11,C,2.0,2.0,2.48,2026-05-26
10838,10838,94.45,A,4.0,3.0,2.55,2026-05-26
10839,10839,70.52,B,3.0,3.0,2.57,2026-05-26
10840,10840,68.78,B-,2.7,2.93,2.58,2026-05-26
10841,10841,67.23,B-,2.7,2.88,2.58,2026-05-26
10842,10842,60.16,C+,2.3,2.3,2.57,2026-05-26
10843,10843,61.6,C+,2.3,2.3,2.56,2026-05-26
10844,10844,99.0,A,4.0,2.81,2.61,2026-05-26
10845,10845,71.99,B,3.0,2.85,2.62,2026-05-26
10846,10846,63.6,C+,2.3,2.75,2.61,2026-05-26
10847,10847,33.93,E,0.0,2.32,2.53,2026-05-26
10848,10848,56.69,C,2.0,2.0,2.51,2026-05-26
10849,10849,48.06,D,1.0,1.5,2.47,2026-05-26
10850,10850,61.35,C+,2.3,1.82,2.46,2026-05-26
10851,10851,71.53,B,3.0,2.09,2.48,2026-05-26
10852,10852,48.84,D,1.0,1.89,2.44,2026-05-26
10853,10853,52.79,D,1.0,1.75,2.4,2026-05-26
10854,10854,77.25,B+,3.3,1.96,2.42,2026-05-26
10855,10855,60.41,C+,2.3,2.3,2.42,2026-05-26
10856,10856,66.64,B-,2.7,2.47,2.42,2026-05-26
10857,10857,71.68,B,3.0,2.63,2.44,2026-05-26
10858,10858,65.23,B-,2.7,2.65,2.44,2026-05-26
10859,10859,70.11,B,3.0,2.71,2.46,2026-05-26
10860,10860,73.97,B,3.0,3.0,2.47,2026-05-26
10861,10861,55.73,C,2.0,2.5,2.46,2026-05-26
10862,10862,63.02,C+,2.3,2.43,2.45,2026-05-26
10863,10863,62.87,C+,2.3,2.4,2.45,2026-05-26
10864,10864,82.29,A-,3.7,2.66,2.48,2026-05-26
10865,10865,65.28,B-,2.7,2.67,2.48,2026-05-26
10866,10866,73.34,B,3.0,2.71,2.49,2026-05-26
10867,10867,71.61,B,3.0,3.0,3.0,2026-05-26
10868,10868,71.58,B,3.0,3.0,3.0,2026-05-26
10869,10869,96.21,A,4.0,3.4,3.4,2026-05-26
10870,10870,80.92,A-,3.7,3.47,3.47,2026-05-26
10871,10871,68.76,B-,2.7,3.33,3.33,2026-05-26
10872,10872,68.59,B-,2.7,2.7,3.15,2026-05-26
10873,10873,77.54,B+,3.3,2.9,3.17,2026-05-26
10874,10874,70.24,B,3.0,2.93,3.15,2026-05-26
10875,10875,63.1,C+,2.3,2.8,3.07,2026-05-26
10876,10876,80.01,A-,3.7,2.95,3.13,2026-05-26
10877,10877,73.69,B,3.0,2.96,3.12,2026-05-26
10878,10878,73.7,B,3.0,2.96,3.11,2026-05-26
10879,10879,71.25,B,3.0,3.0,3.1,2026-05-26
10880,10880,68.3,B-,2.7,2.87,3.07,2026-05-26
10881,10881,63.94,C+,2.3,2.7,3.03,2026-05-26
10882,10882,65.81,B-,2.7,2.7,3.01,2026-05-26
10883,10883,63.85,C+,2.3,2.62,2.97,2026-05-26
10884,10884,62.08,C+,2.3,2.57,2.93,2026-05-26
10885,10885,77.25,B+,3.3,2.64,2.95,2026-05-26
10886,10886,70.44,B,3.0,3.0,3.0,2026-05-26
10887,10887,83.96,A-,3.7,3.28,3.28,2026-05-26
10888,10888,66.03,B-,2.7,3.06,3.06,2026-05-26
10889,10889,60.65,C+,2.3,2.85,2.85,2026-05-26
10890,10890,65.05,B-,2.7,2.8,2.8,2026-05-26
10891,10891,87.37,A,4.0,4.0,2.98,2026-05-26
10892,10892,16.4,E,0.0,2.0,2.59,2026-05-26
10893,10893,61.41,C+,2.3,2.08,2.57,2026-05-26
10894,10894,81.84,A-,3.7,2.77,2.79,2026-05-26
10895,10895,51.51,D,1.0,2.46,2.63,2026-05-26
10896,10896,76.4,B+,3.3,2.58,2.68,2026-05-26
10897,10897,75.19,B+,3.3,3.3,2.72,2026-05-26
10898,10898,62.26,C+,2.3,2.7,2.69,2026-05-26
10899,10899,78.88,B+,3.3,2.92,2.73,2026-05-26
10900,10900,63.81,C+,2.3,2.75,2.7,2026-05-26
10901,10901,66.81,B-,2.7,2.74,2.7,2026-05-26
10902,10902,78.9,B+,3.3,2.91,2.76,2026-05-26
10903,10903,85.94,A,4.0,4.0,2.83,2026-05-26
10904,10904,93.4,A,4.0,4.0,2.88,2026-05-26
10905,10905,66.44,B-,2.7,3.67,2.88,2026-05-26
10906,10906,71.72,B,3.0,3.54,2.88,2026-05-26
10907,10907,82.07,A-,3.7,3.57,2.9,2026-05-26
10908,10908,70.27,B,3.0,3.45,2.91,2026-05-26
10909,10909,76.95,B+,3.3,3.3,3.3,2026-05-26
10910,10910,58.02,C,2.0,2.52,2.52,2026-05-26
10911,10911,68.58,B-,2.7,2.59,2.59,2026-05-26
10912,10912,55.15,C,2.0,2.43,2.43,2026-05-26
10913,10913,53.29,D,1.0,2.12,2.12,2026-05-26
10914,10914,38.54,E,0.0,1.75,1.75,2026-05-26
10915,10915,65.69,B-,2.7,2.7,1.89,2026-05-26
10916,10916,78.94,B+,3.3,3.0,2.07,2026-05-26
10917,10917,46.0,D,1.0,2.33,1.95,2026-05-26
10918,10918,86.39,A,4.0,2.75,2.16,2026-05-26
10919,10919,62.99,C+,2.3,2.69,2.17,2026-05-26
10920,10920,5.67,E,0.0,2.21,1.98,2026-05-26
10921,10921,78.47,B+,3.3,3.3,2.09,2026-05-26
10922,10922,56.75,C,2.0,2.65,2.08,2026-05-26
10923,10923,62.0,C+,2.3,2.53,2.1,2026-05-26
10924,10924,82.2,A-,3.7,2.82,2.2,2026-05-26
10925,10925,67.75,B-,2.7,2.8,2.23,2026-05-26
10926,10926,77.36,B+,3.3,2.88,2.29,2026-05-26
10927,10927,73.55,B,3.0,3.0,2.33,2026-05-26
10928,10928,67.09,B-,2.7,2.85,2.35,2026-05-26
10929,10929,47.67,D,1.0,2.23,2.28,2026-05-26
10930,10930,50.47,D,1.0,1.93,2.22,2026-05-26
10931,10931,80.87,A-,3.7,2.28,2.29,2026-05-26
10932,10932,65.9,B-,2.7,2.7,2.3,2026-05-26
10933,10933,75.37,B+,3.3,3.0,2.33,2026-05-26
10934,10934,71.49,B,3.0,3.0,2.36,2026-05-26
10935,10935,55.11,C,2.0,2.7,2.34,2026-05-26
10936,10936,71.41,B,3.0,2.77,2.37,2026-05-26
10937,10937,40.52,E,0.0,2.25,2.28,2026-05-26
10938,10938,92.15,A,4.0,2.53,2.34,2026-05-26
10939,10939,56.89,C,2.0,2.0,2.0,2026-05-26
10940,10940,71.68,B,3.0,2.5,2.5,2026-05-26
10941,10941,68.66,B-,2.7,2.57,2.57,2026-05-26
10942,10942,63.81,C+,2.3,2.5,2.5,2026-05-26
10943,10943,71.13,B,3.0,2.57,2.57,2026-05-26
10944,10944,80.86,A-,3.7,2.77,2.77,2026-05-26
10945,10945,58.4,C,2.0,2.69,2.69,2026-05-26
10946,10946,71.91,B,3.0,3.0,2.73,2026-05-26
10947,10947,56.51,C,2.0,2.5,2.64,2026-05-26
10948,10948,83.55,A-,3.7,2.9,2.76,2026-05-26
10949,10949,73.7,B,3.0,2.93,2.78,2026-05-26
10950,10950,73.11,B,3.0,2.95,2.82,2026-05-26
10951,10951,78.45,B+,3.3,3.0,2.85,2026-05-26
10952,10952,73.64,B,3.0,3.0,2.86,2026-05-26
10953,10953,65.14,B-,2.7,2.7,2.86,2026-05-26
10954,10954,82.3,A-,3.7,3.3,2.91,2026-05-26
10955,10955,61.71,C+,2.3,2.93,2.87,2026-05-26
10956,10956,75.51,B+,3.3,3.03,2.9,2026-05-26
10957,10957,95.8,A,4.0,3.18,2.94,2026-05-26
10958,10958,70.09,B,3.0,3.14,2.94,2026-05-26
10959,10959,73.95,B,3.0,3.1,2.94,2026-05-26
10960,10960,80.05,A-,3.7,3.7,2.98,2026-05-26
10961,10961,48.78,D,1.0,2.35,2.89,2026-05-26
10962,10962,53.02,D,1.0,1.9,2.82,2026-05-26
10963,10963,70.16,B,3.0,2.18,2.82,2026-05-26
10964,10964,63.89,C+,2.3,2.2,2.81,2026-05-26
10965,10965,77.22,B+,3.3,2.33,2.82,2026-05-26
10966,10966,71.25,B,3.0,3.0,2.83,2026-05-26
10967,10967,70.3,B,3.0,3.0,2.83,2026-05-26
10968,10968,66.16,B-,2.7,2.92,2.83,2026-05-26
10969,10969,82.98,A-,3.7,3.09,2.86,2026-05-26
10970,10970,70.94,B,3.0,3.07,2.86,2026-05-26
10971,10971,78.14,B+,3.3,3.3,2.87,2026-05-26
10972,10972,66.96,B-,2.7,3.06,2.87,2026-05-26
10973,10973,67.17,B-,2.7,2.92,2.87,2026-05-26
10974,10974,72.74,B,3.0,2.96,2.87,2026-05-26
10975,10975,78.7,B+,3.3,3.02,2.88,2026-05-26
10976,10976,77.6,B+,3.3,3.05,2.89,2026-05-26
10977,10977,67.48,B-,2.7,2.7,2.89,2026-05-26
10978,10978,89.38,A,4.0,3.35,2.91,2026-05-26
10979,10979,76.71,B+,3.3,3.34,2.92,2026-05-26
10980,10980,47.16,D,1.0,2.7,2.87,2026-05-26
10981,10981,72.85,B,3.0,2.75,2.88,2026-05-26
10982,10982,62.81,C+,2.3,2.66,2.86,2026-05-26
10983,10983,78.03,B+,3.3,3.3,3.3,2026-05-26
10984,10984,86.12,A,4.0,3.65,3.65,2026-05-26
10985,10985,91.46,A,4.0,3.77,3.77,2026-05-26
10986,10986,71.77,B,3.0,3.57,3.57,2026-05-26
10987,10987,50.81,D,1.0,3.06,3.06,2026-05-26
10988,10988,85.26,A,4.0,4.0,3.22,2026-05-26
10989,10989,60.55,C+,2.3,3.15,3.09,2026-05-26
10990,10990,86.33,A,4.0,3.43,3.2,2026-05-26
10991,10991,55.98,C,2.0,3.07,3.07,2026-05-26
10992,10992,82.11,A-,3.7,3.2,3.13,2026-05-26
10993,10993,55.31,C,2.0,3.0,3.03,2026-05-26
10994,10994,80.51,A-,3.7,3.7,3.07,2026-05-26
10995,10995,91.64,A,4.0,3.88,3.14,2026-05-26
10996,10996,97.95,A,4.0,3.92,3.2,2026-05-26
10997,10997,98.78,A,4.0,3.95,3.26,2026-05-26
10998,10998,72.9,B,3.0,3.74,3.24,2026-05-26
10999,10999,45.57,D,1.0,1.0,3.15,2026-05-26
11000,11000,71.21,B,3.0,2.2,3.14,2026-05-26
11001,11001,66.37,B-,2.7,2.42,3.11,2026-05-26
11002,11002,53.15,D,1.0,2.07,3.0,2026-05-26
11003,11003,92.82,A,4.0,2.45,3.05,2026-05-26
11004,11004,80.03,A-,3.7,3.7,3.08,2026-05-26
11005,11005,94.08,A,4.0,3.85,3.12,2026-05-26
11006,11006,58.89,C,2.0,3.11,3.06,2026-05-26
11007,11007,90.55,A,4.0,3.32,3.1,2026-05-26
11008,11008,82.82,A-,3.7,3.39,3.12,2026-05-26
